Tournament,Date,Team_1,Team_2,Score_1,Score_2
Regionals South 2022,2022-08-13,Reading,Mixed Feelings,15,3
Regionals South 2022,2022-08-13,Reading,Purple Cobras,9,8
Regionals South 2022,2022-08-13,Reading,Thundering Herd,13,4
Regionals South 2022,2022-08-13,Thundering Herd,Bristol Mixed,12,5
Regionals South 2022,2022-08-13,Thundering Herd,Mixed Feelings,8,6
Regionals South 2022,2022-08-13,Thundering Herd,Purple Cobras,9,4
Regionals South 2022,2022-08-13,Zoo,Guildford,9,5
Regionals South 2022,2022-08-13,Zoo,Thundering Herd 2,7,5
Regionals North 2022,2022-08-14,Birmingham Ultimate,Cambridge,14,7
Regionals North 2022,2022-08-14,Birmingham Ultimate,Nemesis,12,4
Regionals North 2022,2022-08-14,Black Sheep,Cambridge,11,7
Regionals North 2022,2022-08-14,Glasgow,Lemmings,12,7
Regionals North 2022,2022-08-14,Lemmings,SMOG Rising,13,12
Regionals North 2022,2022-08-14,Nemesis,Black Sheep,11,9
Regionals North 2022,2022-08-14,SMOG,Glasgow,15,3
Regionals North 2022,2022-08-14,SMOG,SMOG Rising,15,7
Regionals South 2022,2022-08-14,Brighton,Zoo,10,6
Regionals South 2022,2022-08-14,Deep Space,Purple Cobras,10,5
Regionals South 2022,2022-08-14,Deep Space,Reading,9,8
Regionals South 2022,2022-08-14,Deep Space,Thundering Herd,12,4
Regionals South 2022,2022-08-14,Deep Space,Thundering Herd 2,10,4
Regionals South 2022,2022-08-14,Guildford,Bristol Mixed,6,5
Regionals South 2022,2022-08-14,Mixed Feelings,Guildford,10,4
Regionals South 2022,2022-08-14,Mixed Feelings,Thundering Herd 2,12,4
Regionals South 2022,2022-08-14,Mixed Feelings,Zoo,8,4
Regionals South 2022,2022-08-14,Oxford Ultimate,Guildford,8,6
Regionals South 2022,2022-08-14,Oxford Ultimate,Purple Cobras,9,5
Regionals South 2022,2022-08-14,Oxford Ultimate,Thundering Herd,7,6
Regionals South 2022,2022-08-14,Purple Cobras,Brighton,6,4
Regionals South 2022,2022-08-14,Reading,Brighton,15,1
Regionals South 2022,2022-08-14,Reading,Oxford Ultimate,8,4
Regionals South 2022,2022-08-14,Thundering Herd,Brighton,7,5
Regionals South 2022,2022-08-14,Thundering Herd 2,Bristol Mixed,8,6
Regionals South 2022,2022-08-14,Zoo,Bristol Mixed,6,4
Nationals 2022,2022-09-03,Birmingham Ultimate,Nemesis,15,7
Nationals 2022,2022-09-03,Deep Space,Birmingham Ultimate,11,3
Nationals 2022,2022-09-03,Deep Space,SMOG Rising,13,11
Nationals 2022,2022-09-03,Deep Space,Thundering Herd,15,8
Nationals 2022,2022-09-03,Glasgow,Nemesis,15,4
Nationals 2022,2022-09-03,Lemmings,Black Sheep,15,2
Nationals 2022,2022-09-03,Lemmings,Oxford Ultimate,13,12
Nationals 2022,2022-09-03,Oxford Ultimate,Glasgow,13,6
Nationals 2022,2022-09-03,Oxford Ultimate,Nemesis,14,8
Nationals 2022,2022-09-03,Purple Cobras,Black Sheep,14,10
Nationals 2022,2022-09-03,Reading,Black Sheep,15,3
Nationals 2022,2022-09-03,Reading,Glasgow,15,6
Nationals 2022,2022-09-03,Reading,Lemmings,15,6
Nationals 2022,2022-09-03,SMOG,Purple Cobras,15,2
Nationals 2022,2022-09-03,SMOG,SMOG Rising,14,10
Nationals 2022,2022-09-03,SMOG,Thundering Herd,15,5
Nationals 2022,2022-09-03,SMOG Rising,Purple Cobras,15,2
Nationals 2022,2022-09-03,Thundering Herd,Birmingham Ultimate,12,6
Nationals 2022,2022-09-04,Birmingham Ultimate,Black Sheep,15,3
Nationals 2022,2022-09-04,Birmingham Ultimate,Purple Cobras,10,9
Nationals 2022,2022-09-04,Deep Space,Lemmings,11,8
Nationals 2022,2022-09-04,Glasgow,SMOG Rising,12,10
Nationals 2022,2022-09-04,Lemmings,Oxford Ultimate,11,9
Nationals 2022,2022-09-04,Nemesis,Black Sheep,14,10
Nationals 2022,2022-09-04,Oxford Ultimate,Glasgow,12,11
Nationals 2022,2022-09-04,Oxford Ultimate,Thundering Herd,13,12
Nationals 2022,2022-09-04,Purple Cobras,Nemesis,11,7
Nationals 2022,2022-09-04,Reading,Deep Space,14,9
Nationals 2022,2022-09-04,SMOG,Lemmings,15,5
Nationals 2022,2022-09-04,SMOG,Reading,14,11
Nationals 2022,2022-09-04,SMOG Rising,Thundering Herd,15,9
