Tournament,Date,Team_1,Team_2,Score_1,Score_2
EUF Spring Tour 2024,2024-04-21,SYC,SMOG Women,11,10
EUF Spring Tour 2024,2024-04-21,Seagulls,Gravity,10,7
EUF Spring Tour 2024,2024-04-21,Seagulls,Horizon,14,7
EUF Spring Tour 2024,2024-04-21,Seagulls,SYC,14,8
EUF Spring Tour 2024,2024-04-21,Spice,Horizon,15,9
Windfarm 2024,2024-05-25,Bristol Women,Masterclass,14,10
Windfarm 2024,2024-05-25,Bristol Women,Spice,14,11
Windfarm 2024,2024-05-25,Brixton,FRed,9,6
Windfarm 2024,2024-05-25,Chameleons,Eclipse,9,2
Windfarm 2024,2024-05-25,FRed,Sheffield Steal,13,3
Windfarm 2024,2024-05-25,GB Masters Women,Bristol Women,12,10
Windfarm 2024,2024-05-25,GB Masters Women,Masterclass,13,9
Windfarm 2024,2024-05-25,GB Masters Women,Spice,14,10
Windfarm 2024,2024-05-25,GB U20,Chameleons,13,0
Windfarm 2024,2024-05-25,GB U20,Eclipse,13,1
Windfarm 2024,2024-05-25,GB U20,Kestrels,10,3
Windfarm 2024,2024-05-25,GB U20,Newcastle Brown,11,2
Windfarm 2024,2024-05-25,Horizon,Brixton,15,3
Windfarm 2024,2024-05-25,Horizon,FRed,15,1
Windfarm 2024,2024-05-25,Horizon,Sheffield Steal,15,0
Windfarm 2024,2024-05-25,Itheni,Lemmings,8,7
Windfarm 2024,2024-05-25,Itheni,SYC,9,7
Windfarm 2024,2024-05-25,Kestrels,Chameleons,10,7
Windfarm 2024,2024-05-25,Kestrels,Eclipse,13,1
Windfarm 2024,2024-05-25,Kestrels,Newcastle Brown,9,6
Windfarm 2024,2024-05-25,Lemmings,SMOG Women,13,11
Windfarm 2024,2024-05-25,Lemmings,SYC,15,9
Windfarm 2024,2024-05-25,Masterclass,Spice,10,9
Windfarm 2024,2024-05-25,Newcastle Brown,Chameleons,12,3
Windfarm 2024,2024-05-25,Newcastle Brown,Eclipse,13,2
Windfarm 2024,2024-05-25,SMOG Women,Itheni,12,8
Windfarm 2024,2024-05-25,SYC,SMOG Women,9,7
Windfarm 2024,2024-05-25,Sheffield Steal,Brixton,7,6
Windfarm 2024,2024-05-26,Brixton,Chameleons,8,4
Windfarm 2024,2024-05-26,Brixton,Eclipse,13,4
Windfarm 2024,2024-05-26,Chameleons,Sheffield Steal,11,6
Windfarm 2024,2024-05-26,GB Masters Women,Bristol Women,12,7
Windfarm 2024,2024-05-26,GB U20,FRed,15,3
Windfarm 2024,2024-05-26,Horizon,GB U20,11,9
Windfarm 2024,2024-05-26,Horizon,Kestrels,15,6
Windfarm 2024,2024-05-26,Itheni,Bristol Women,14,9
Windfarm 2024,2024-05-26,Kestrels,FRed,15,1
Windfarm 2024,2024-05-26,Lemmings,GB Masters Women,15,12
Windfarm 2024,2024-05-26,Lemmings,Itheni,10,7
Windfarm 2024,2024-05-26,Masterclass,FRed,15,1
Windfarm 2024,2024-05-26,Masterclass,Spice,14,6
Windfarm 2024,2024-05-26,Newcastle Brown,Brixton,1,1
Windfarm 2024,2024-05-26,Newcastle Brown,Sheffield Steal,10,8
Windfarm 2024,2024-05-26,SMOG Women,GB U20,15,3
Windfarm 2024,2024-05-26,SMOG Women,Masterclass,10,8
Windfarm 2024,2024-05-26,SMOG Women,SYC,14,4
Windfarm 2024,2024-05-26,SYC,Kestrels,15,4
Windfarm 2024,2024-05-26,SYC,Spice,14,9
Windfarm 2024,2024-05-26,Sheffield Steal,Eclipse,15,2
Windfarm 2024,2024-05-26,Spice,Horizon,12,8
Nationals 2024,2024-07-06,Bristol Women,Horizon,14,8
Nationals 2024,2024-07-06,Bristol Women,SYC,15,9
Nationals 2024,2024-07-06,Horizon,SYC,14,13
Nationals 2024,2024-07-06,Iceni,Chameleons,15,0
Nationals 2024,2024-07-06,Iceni,LMU,13,7
Nationals 2024,2024-07-06,Iceni,Spice,15,10
Nationals 2024,2024-07-06,LMU,Chameleons,15,3
Nationals 2024,2024-07-06,LMU,Spice,15,3
Nationals 2024,2024-07-06,SMOG Women,Bristol Women,14,13
Nationals 2024,2024-07-06,SMOG Women,Horizon,11,9
Nationals 2024,2024-07-06,SMOG Women,SYC,14,10
Nationals 2024,2024-07-06,Spice,Chameleons,15,3
Nationals 2024,2024-07-07,Bristol Women,Iceni,15,9
Nationals 2024,2024-07-07,Bristol Women,LMU,15,7
Nationals 2024,2024-07-07,Horizon,Chameleons,15,2
Nationals 2024,2024-07-07,Iceni,SMOG Women,13,12
Nationals 2024,2024-07-07,LMU,SMOG Women,13,7
Nationals 2024,2024-07-07,SYC,Chameleons,15,0
Nationals 2024,2024-07-07,Spice,Horizon,14,11
Nationals 2024,2024-07-07,Spice,SYC,11,10
