Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Windfarm 2024,2024-05-26,Lemmings 1,DED,15,9,open
Windfarm 2024,2024-05-26,Bristol Women,GB Masters Women,7,12,women
Windfarm 2024,2024-05-26,Lemmings,Itheni,10,7,women
Windfarm 2024,2024-05-26,Frothing,GB Open Masters,15,12,open
Windfarm 2024,2024-05-26,Ranelagh 1,Bristol Open,15,10,open
Windfarm 2024,2024-05-26,Flyght Open,Birmingham Ultimate,12,8,open
Windfarm 2024,2024-05-26,Brixton,Curve,13,9,open
Windfarm 2024,2024-05-26,SYC,SMOG Women,4,14,women
Windfarm 2024,2024-05-26,Horizon,GB U20 Women,11,9,women
Windfarm 2024,2024-05-26,FRed,Kestrels,1,15,women
Windfarm 2024,2024-05-26,Masterclass,Spice,14,6,women
Windfarm 2024,2024-05-26,Newcastle Brown,Brixton,1,1,women
Windfarm 2024,2024-05-26,Sheffield Steal,Eclipse,15,2,women
Windfarm 2024,2024-05-26,Lemmings 1,Newcastle Brown,1,1,open
Windfarm 2024,2024-05-26,Rebel Ultimate,GB U20 Open,12,15,open
Windfarm 2024,2024-05-26,Manchester Ultimate,Cambridge Ultimate Open,11,15,open
Windfarm 2024,2024-05-26,Lemmings 2,Reading 2,1,1,open
Windfarm 2024,2024-05-26,LLLeeds 1,SOLENT Open 1,15,12,open
Windfarm 2024,2024-05-26,Fire of London,Sheffield Steal 1,15,5,open
Windfarm 2024,2024-05-26,Brizzle,Brighton Ultimate Open,10,15,open
Windfarm 2024,2024-05-26,Ka-Pow!,DED,1,1,open
Windfarm 2024,2024-05-26,Red Leicester,South Wales Storm,15,5,open
Windfarm 2024,2024-05-26,Birmingham Ultimate,Curve,15,8,open
