Tournament,Date,Team_1,Team_2,Score_1,Score_2
Reading X 2025,2025-05-11,Deep Space,Reading 2,15,5
Reading X 2025,2025-05-11,Deep Space Club,Reading 1,12,4
Reading X 2025,2025-05-11,Epsom Ultimate Mixed,Curve Trajectory,11,7
Reading X 2025,2025-05-11,Flyght Mixed,Black Sheep Ultimate,12,5
Reading X 2025,2025-05-11,Flyght Mixed,South Wales Storm,9,7
Reading X 2025,2025-05-11,GB U24 Mixed,Reading 1,15,0
Reading X 2025,2025-05-11,Lemmings 1,Deep Space,15,8
Reading X 2025,2025-05-11,Lemmings 1,Oxford Ultimate,13,7
Reading X 2025,2025-05-11,Lemmings 1,Purple Cobras,15,9
Reading X 2025,2025-05-11,Newcastle Brown,Bristol Mixed,13,12
Reading X 2025,2025-05-11,Oxford Ultimate,BN1,12,10
Reading X 2025,2025-05-11,Oxford Ultimate,Newcastle Brown,15,8
Reading X 2025,2025-05-11,Reading 2,Bristol Mixed,14,9
Reading X 2025,2025-05-11,SOLENT Mixed,Contested 1st,14,7
Reading X 2025,2025-05-11,SOLENT Mixed,Curve Vector,12,11
Reading X 2025,2025-05-11,SOLENT Mixed,Flyght Mixed,10,8
Reading X 2025,2025-05-11,South Wales Storm,Brixton,9,4
Reading X 2025,2025-05-11,South Wales Storm,Contested 1st,12,11
Reading X 2025,2025-05-11,Thundering Herd 2,Curve Trajectory,9,4
Reading X 2025,2025-05-11,Tim Tam Slam,Deep Space Club,13,8
Reading X 2025,2025-05-11,Tim Tam Slam,GB U24 Mixed,15,5
Reading X 2025,2025-05-11,Zoo,Epsom Ultimate Mixed,10,7
Reading X 2025,2025-05-11,Zoo,Thundering Herd 2,8,7
Manchester 2025,2025-06-07,Black Sheep Ultimate,Sneeekys A,15,6
Manchester 2025,2025-06-07,Contested 1st,Black Sheep Ultimate,15,8
Manchester 2025,2025-06-07,Contested 1st,Sneeekys A,15,2
Manchester 2025,2025-06-07,Flying Sheep Mixed,Black Sheep Ultimate,12,9
Manchester 2025,2025-06-07,Halcyon Mixed,Flying Sheep Mixed,15,4
Manchester 2025,2025-06-07,Halcyon Mixed,Sneeekys A,15,5
Manchester 2025,2025-06-07,Heck,Mamak Ultimate,14,8
Manchester 2025,2025-06-07,Heck,Newcastle Brown 2,15,4
Manchester 2025,2025-06-07,Heck,Sheffield Steal,14,12
Manchester 2025,2025-06-07,Mamak Ultimate,Birmingham Ultimate,12,7
Manchester 2025,2025-06-07,Mamak Ultimate,Newcastle Brown 2,15,9
Manchester 2025,2025-06-07,Midlands Mixed Masters,Birmingham Ultimate,15,2
Manchester 2025,2025-06-07,Midlands Mixed Masters,Newcastle Brown 2,15,8
Manchester 2025,2025-06-07,Newcastle Brown 1,Contested 1st,15,5
Manchester 2025,2025-06-07,Newcastle Brown 1,Flying Sheep Mixed,15,0
Manchester 2025,2025-06-07,Newcastle Brown 1,Halcyon Mixed,15,8
Manchester 2025,2025-06-07,Sheffield Steal,Birmingham Ultimate,15,3
Manchester 2025,2025-06-07,Sheffield Steal,Midlands Mixed Masters,14,13
Moooxed 2025,2025-06-07,Bristol Mixed,Bristol Mixed 2,15,5
Moooxed 2025,2025-06-07,Bristol Mixed,Thundering Herd 2,15,4
Moooxed 2025,2025-06-07,Bristol Mixed 2,Curve Trajectory,14,7
Moooxed 2025,2025-06-07,Brixton,Cambridge Ultimate Mixed 1,13,7
Moooxed 2025,2025-06-07,Cambridge Ultimate Mixed A,Brixton,15,6
Moooxed 2025,2025-06-07,Curve Vector,Bristol Mixed,14,13
Moooxed 2025,2025-06-07,Curve Vector,Thundering Herd 2,14,6
Moooxed 2025,2025-06-07,Purple Cobras,Curve Trajectory,15,2
Moooxed 2025,2025-06-07,Purple Cobras,Thundering Herd 2,12,5
Moooxed 2025,2025-06-07,Reading 2,Cambridge Ultimate Mixed 1,15,5
Moooxed 2025,2025-06-07,Reading 2,Cambridge Ultimate Mixed A,12,11
Moooxed 2025,2025-06-07,SOLENT Mixed,Bristol Mixed 2,13,8
Moooxed 2025,2025-06-07,SOLENT Mixed,Purple Cobras,11,8
Moooxed 2025,2025-06-07,Thundering Herd 1,Brixton,15,7
Moooxed 2025,2025-06-07,Thundering Herd 1,Cambridge Ultimate Mixed 1,15,4
Moooxed 2025,2025-06-07,Thundering Herd 1,Curve Vector,12,8
Moooxed 2025,2025-06-07,Thundering Herd Masters,Cambridge Ultimate Mixed A,15,5
Moooxed 2025,2025-06-07,Thundering Herd Masters,Reading 2,11,10
Moooxed 2025,2025-06-07,Thundering Herd Masters,SOLENT Mixed,13,7
Manchester 2025,2025-06-08,Birmingham Ultimate,Sneeekys A,10,5
Manchester 2025,2025-06-08,Black Sheep Ultimate,Birmingham Ultimate,7,5
Manchester 2025,2025-06-08,Black Sheep Ultimate,Newcastle Brown 2,15,7
Manchester 2025,2025-06-08,Black Sheep Ultimate,Sneeekys A,15,5
Manchester 2025,2025-06-08,Contested 1st,Flying Sheep Mixed,15,4
Manchester 2025,2025-06-08,Halcyon Mixed,Contested 1st,12,10
Manchester 2025,2025-06-08,Heck,Halcyon Mixed,14,7
Manchester 2025,2025-06-08,Heck,Midlands Mixed Masters,10,7
Manchester 2025,2025-06-08,Mamak Ultimate,Flying Sheep Mixed,15,6
Manchester 2025,2025-06-08,Mamak Ultimate,Halcyon Mixed,13,8
Manchester 2025,2025-06-08,Midlands Mixed Masters,Contested 1st,13,8
Manchester 2025,2025-06-08,Newcastle Brown 1,Heck,14,11
Manchester 2025,2025-06-08,Newcastle Brown 1,Mamak Ultimate,15,6
Manchester 2025,2025-06-08,Newcastle Brown 1,Sheffield Steal,15,7
Manchester 2025,2025-06-08,Newcastle Brown 2,Birmingham Ultimate,13,10
Manchester 2025,2025-06-08,Newcastle Brown 2,Sneeekys A,15,6
Manchester 2025,2025-06-08,Sheffield Steal,Flying Sheep Mixed,15,3
Manchester 2025,2025-06-08,Sheffield Steal,Midlands Mixed Masters,14,11
Moooxed 2025,2025-06-08,Bristol Mixed,SOLENT Mixed,14,8
Moooxed 2025,2025-06-08,Bristol Mixed 2,Curve Trajectory,12,7
Moooxed 2025,2025-06-08,Bristol Mixed 2,Thundering Herd 2,10,8
Moooxed 2025,2025-06-08,Brixton,Bristol Mixed 2,13,6
Moooxed 2025,2025-06-08,Brixton,Cambridge Ultimate Mixed 1,12,6
Moooxed 2025,2025-06-08,Brixton,Curve Trajectory,13,7
Moooxed 2025,2025-06-08,Cambridge Ultimate Mixed 1,Bristol Mixed 2,8,7
Moooxed 2025,2025-06-08,Cambridge Ultimate Mixed 1,Thundering Herd 2,8,6
Moooxed 2025,2025-06-08,Curve Trajectory,Cambridge Ultimate Mixed 1,9,5
Moooxed 2025,2025-06-08,Curve Vector,Purple Cobras,13,10
Moooxed 2025,2025-06-08,Curve Vector,Thundering Herd Masters,13,9
Moooxed 2025,2025-06-08,Purple Cobras,Cambridge Ultimate Mixed A,13,6
Moooxed 2025,2025-06-08,Purple Cobras,SOLENT Mixed,15,9
Moooxed 2025,2025-06-08,Reading 2,Cambridge Ultimate Mixed A,14,4
Moooxed 2025,2025-06-08,SOLENT Mixed,Reading 2,12,10
Moooxed 2025,2025-06-08,Thundering Herd 1,Bristol Mixed,13,8
Moooxed 2025,2025-06-08,Thundering Herd 1,Curve Vector,13,9
Moooxed 2025,2025-06-08,Thundering Herd 1,Reading 2,14,4
Moooxed 2025,2025-06-08,Thundering Herd 2,Brixton,11,5
Moooxed 2025,2025-06-08,Thundering Herd 2,Curve Trajectory,10,2
Moooxed 2025,2025-06-08,Thundering Herd Masters,Bristol Mixed,12,7
Moooxed 2025,2025-06-08,Thundering Herd Masters,Cambridge Ultimate Mixed A,12,6
Birmingham 2025,2025-07-12,Brixton,Cambridge Ultimate Mixed 1,6,3
Birmingham 2025,2025-07-12,Coalition Of Wales,Black Sheep Ultimate,10,8
Birmingham 2025,2025-07-12,Contested 1st,Brixton,8,7
Birmingham 2025,2025-07-12,Contested 1st,Cambridge Ultimate Mixed 1,11,3
Birmingham 2025,2025-07-12,Curve Trajectory,Birmingham Ultimate,9,2
Birmingham 2025,2025-07-12,Flyght Mixed,GUXYZ,10,8
Birmingham 2025,2025-07-12,Flyght Mixed,Reading 2,13,10
Birmingham 2025,2025-07-12,GUX,Black Sheep Ultimate,13,2
Birmingham 2025,2025-07-12,GUX,Coalition Of Wales,13,3
Birmingham 2025,2025-07-12,GUX,SOLENT Mixed,11,6
Birmingham 2025,2025-07-12,Lemmings 1,Birmingham Ultimate,13,0
Birmingham 2025,2025-07-12,Lemmings 1,Curve Trajectory,13,1
Birmingham 2025,2025-07-12,Lemmings 1,Oxford Ultimate,10,6
Birmingham 2025,2025-07-12,Lemmings 1,Thundering Herd 2,13,7
Birmingham 2025,2025-07-12,Newcastle Brown,Brixton,13,4
Birmingham 2025,2025-07-12,Newcastle Brown,Cambridge Ultimate Mixed 1,12,6
Birmingham 2025,2025-07-12,Newcastle Brown,Contested 1st,11,8
Birmingham 2025,2025-07-12,Newcastle Brown,Sheffield Steal,11,6
Birmingham 2025,2025-07-12,Oxford Ultimate,Birmingham Ultimate,13,1
Birmingham 2025,2025-07-12,Oxford Ultimate,Curve Trajectory,10,7
Birmingham 2025,2025-07-12,Reading 2,GUXYZ,10,9
Birmingham 2025,2025-07-12,SOLENT Mixed,Black Sheep Ultimate,13,3
Birmingham 2025,2025-07-12,SOLENT Mixed,Coalition Of Wales,12,4
Birmingham 2025,2025-07-12,Sheffield Steal,Brixton,13,4
Birmingham 2025,2025-07-12,Sheffield Steal,Cambridge Ultimate Mixed 1,13,2
Birmingham 2025,2025-07-12,Sheffield Steal,Contested 1st,13,5
Birmingham 2025,2025-07-12,Thundering Herd 1,Flyght Mixed,14,6
Birmingham 2025,2025-07-12,Thundering Herd 1,GUXYZ,15,1
Birmingham 2025,2025-07-12,Thundering Herd 1,Reading 2,15,4
Birmingham 2025,2025-07-12,Thundering Herd 2,Birmingham Ultimate,9,6
Birmingham 2025,2025-07-12,Thundering Herd 2,Curve Trajectory,8,7
Birmingham 2025,2025-07-12,Thundering Herd 2,Oxford Ultimate,8,6
Birmingham 2025,2025-07-12,Yipee,Black Sheep Ultimate,13,5
Birmingham 2025,2025-07-12,Yipee,Coalition Of Wales,11,4
Birmingham 2025,2025-07-12,Yipee,GUX,9,8
Birmingham 2025,2025-07-12,Yipee,SOLENT Mixed,9,7
Birmingham 2025,2025-07-13,Birmingham Ultimate,Black Sheep Ultimate,13,7
Birmingham 2025,2025-07-13,Birmingham Ultimate,Cambridge Ultimate Mixed 1,14,5
Birmingham 2025,2025-07-13,Black Sheep Ultimate,Cambridge Ultimate Mixed 1,10,6
Birmingham 2025,2025-07-13,Brixton,Curve Trajectory,10,6
Birmingham 2025,2025-07-13,Coalition Of Wales,Brixton,11,6
Birmingham 2025,2025-07-13,Coalition Of Wales,GUXYZ,11,7
Birmingham 2025,2025-07-13,Contested 1st,GUXYZ,15,4
Birmingham 2025,2025-07-13,Flyght Mixed,Thundering Herd 2,10,8
Birmingham 2025,2025-07-13,GUX,Flyght Mixed,14,10
Birmingham 2025,2025-07-13,GUX,Thundering Herd 1,12,5
Birmingham 2025,2025-07-13,GUXYZ,Curve Trajectory,15,7
Birmingham 2025,2025-07-13,Lemmings 1,GUX,15,5
Birmingham 2025,2025-07-13,Lemmings 1,Sheffield Steal,15,9
Birmingham 2025,2025-07-13,Lemmings 1,Yipee,15,4
Birmingham 2025,2025-07-13,Newcastle Brown,Flyght Mixed,15,8
Birmingham 2025,2025-07-13,Newcastle Brown,Sheffield Steal,15,11
Birmingham 2025,2025-07-13,Oxford Ultimate,Coalition Of Wales,13,8
Birmingham 2025,2025-07-13,Oxford Ultimate,Reading 2,14,8
Birmingham 2025,2025-07-13,Reading 2,Brixton,15,7
Birmingham 2025,2025-07-13,Reading 2,Contested 1st,13,12
Birmingham 2025,2025-07-13,SOLENT Mixed,Contested 1st,14,8
Birmingham 2025,2025-07-13,SOLENT Mixed,Curve Trajectory,15,3
Birmingham 2025,2025-07-13,SOLENT Mixed,Oxford Ultimate,11,8
Birmingham 2025,2025-07-13,Sheffield Steal,Thundering Herd 1,14,10
Birmingham 2025,2025-07-13,Thundering Herd 1,Thundering Herd 2,15,3
Birmingham 2025,2025-07-13,Yipee,Newcastle Brown,14,13
Birmingham 2025,2025-07-13,Yipee,Thundering Herd 2,15,7
